"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-01","0.30"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-02","1.68"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-03","1.82"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-04","1.31"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-05","1.76"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-06","1.03"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-07","1.50"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-08","0.00"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-09","2.74"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-10","2.11"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-11","4.06"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1985-12","0.99"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1986-01","1.86"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1986-02","7.80"
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM, UT US","41.6661","-111.8913","1367.9","1986-03","2.37"
